#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_5.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 27 305.985  0.0632088 2.95891 327.011  0.0751079 3.05661 309.499  0.068673 2.81701 313.541  0.0732704 2.9036 314.511  0.0746396 2.9177 316.17  0.0794407 2.98906 316.349  0.0802589 2.96594 314.873  0.0820291 3.0343 316.524  0.0774813 2.81953 309.504  0.0863597 2.96151 317.568  0.084944 2.75135 317.063  0.0877172 2.79956 318.091  0.0974026 3.01687 318.844  0.0937044 2.73735 322.559  0.0874879 2.95776 
0 28 311.82  0.0661432 3.09452 319.653  0.0775114 3.04135 310.318  0.0752603 2.98574 317.128  0.076802 3.11054 313.851  0.0796937 3.14176 313.659  0.085623 3.23437 313.637  0.0815085 2.99982 312.064  0.0852524 3.09254 319.616  0.0824584 2.93299 311.278  0.0882079 2.99898 310.022  0.090825 2.89127 311.094  0.0912508 3.06463 314.307  0.0941425 2.9386 309.578  0.0960462 2.89129 311.175  0.0871252 3.09431 
0 29 313.895  0.0651897 3.12644 321.013  0.0731383 3.04487 313.692  0.0738365 2.98203 321.825  0.080112 3.23971 325.525  0.0813142 3.28787 321.915  0.085333 3.11862 316.916  0.0801934 3.05333 307.495  0.0846801 3.01562 316.766  0.0864259 2.92745 311.871  0.0871592 2.97239 319.965  0.0918642 2.93649 309.143  0.0924305 2.93079 323.807  0.0995428 3.1344 325.822  0.101047 2.95365 315.148  0.0893658 2.96004 
0 30 302.028  0.0650226 2.98883 322.562  0.072329 2.92466 298.952  0.0743344 2.8567 308.41  0.0742516 2.96755 313.691  0.0809995 3.07903 304.362  0.0815682 3.02143 305.52  0.0782003 2.89576 305.132  0.0854366 3.12326 309.544  0.0781168 2.82501 315.158  0.0827938 2.77624 313.579  0.0830342 2.81389 309.161  0.0890279 2.75729 310.428  0.087919 2.81638 316.779  0.0898659 2.56513 308.696  0.082374 2.8837 
0 31 308.638  0.0665925 3.03544 326.12  0.0771029 2.95128 305.868  0.0763683 3.06253 312.369  0.0819632 3.27447 311.063  0.0819722 3.21877 310.189  0.0800852 2.98876 311.45  0.0804748 2.96737 313.251  0.0813259 2.9085 315.293  0.0870226 3.04056 311.773  0.0842215 2.90276 310.917  0.087436 3.03808 305.063  0.0946462 3.01009 313.423  0.0905851 2.85876 316.521  0.0972922 2.92569 317.905  0.0868063 2.88935 
0 32 303.695  0.0670784 3.16728 321.629  0.0773926 3.05115 305.065  0.0732139 3.06198 316.045  0.0774357 3.12393 311.505  0.0843916 3.28416 310.746  0.0820319 3.16615 314.304  0.0833447 3.00735 312.731  0.0874553 3.18438 314.591  0.084882 2.99598 314.88  0.0880837 3.01566 314.388  0.0938296 3.02297 307.471  0.0960715 3.06143 309.18  0.0997819 3.12825 319.781  0.0978813 2.90012 311.156  0.0886882 3.12096 
0 33 311.592  0.0575577 2.79838 332.466  0.0703744 2.83206 308.414  0.0677991 2.83842 318.591  0.0752089 2.94844 314.861  0.07698 2.98095 308.894  0.0766807 2.84608 314.623  0.0752592 2.82139 315.632  0.0814029 2.92845 314.817  0.0799019 2.77893 309.159  0.0792471 2.70629 315.297  0.0851517 2.89089 313.781  0.0898744 2.92423 307.574  0.0908492 2.87758 315.508  0.0880673 2.74035 308.331  0.084936 2.9497 
0 34 310.236  0.0680223 3.122 320.127  0.0831133 3.19877 296.989  0.0759902 3.14823 315.192  0.079557 3.21769 307.743  0.0872493 3.27679 309.985  0.0844175 3.21497 317.552  0.0870264 3.26385 308.774  0.0862049 3.14088 311.719  0.0889331 3.14964 314.015  0.0893172 3.07772 313.884  0.095041 3.15579 322.648  0.0987526 3.08951 309.84  0.102071 3.12849 318.146  0.108778 3.21099 310.669  0.0936685 3.14745 
0 35 302.221  0.0662082 3.11879 331.105  0.0775294 3.15352 308.225  0.0758901 3.13142 318.254  0.079309 3.21513 312.516  0.0857545 3.41361 315.193  0.0808744 3.12371 312.04  0.0814322 3.07489 310.416  0.0844238 2.98239 311.642  0.0924854 3.1632 317.157  0.0887394 3.08986 311.098  0.0929584 3.09973 312.854  0.0958471 3.15571 312.119  0.0960783 3.06626 320.21  0.0969229 2.88302 314.351  0.0878406 3.00737 
0 36 299.384  0.0672821 3.0959 328.722  0.0762071 3.01745 307.188  0.0759284 3.03248 315.377  0.076629 2.97423 311.703  0.0831225 3.19671 312.372  0.0818651 3.062 314.6  0.075137 2.80866 310.953  0.0820053 3.02554 315.304  0.0868729 2.99063 316.875  0.0869574 2.95202 308.592  0.0907151 3.00659 312.358  0.0949721 3.04953 318.411  0.0958374 2.93774 318.981  0.0982832 3.02862 308.39  0.0890916 3.02257 
0 37 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 38 320.985  0.0708231 3.24346 319.532  0.0833169 3.25592 314.704  0.0794619 3.31398 319.691  0.0815752 3.25501 316.353  0.0862879 3.31997 317.739  0.0871933 3.28454 319.017  0.08341 3.13752 312.635  0.0886256 3.19395 323.115  0.0941048 3.25251 322.403  0.0982899 3.26834 321.733  0.0992186 3.19701 309.792  0.0991454 3.2303 321.678  0.102047 3.17468 322.782  0.104627 3.18241 321.387  0.0972821 3.29094 
